zipcode,latitude,longitude
27615,35.8915,-78.6341
27605,35.7917,-78.6583
27592,35.5613,-78.6735
27518,35.7313,-78.7721
27617,35.9071,-78.78
27608,35.8086,-78.646
27529,35.6649,-78.5895
27571,35.9212,-78.4652
27522,36.1104,-78.6895
27604,35.8202,-78.5841
27609,35.8471,-78.6297
27603,35.6989,-78.6611
27616,35.8665,-78.5497
27713,35.9101,-78.9197
27601,35.7751,-78.6351
27513,35.7973,-78.8032
27502,35.7297,-78.8724
27539,35.6798,-78.7824
27519,35.8069,-78.8804
27610,35.7577,-78.5749
27511,35.7673,-78.782
27587,35.9715,-78.5288
27560,35.8455,-78.835
27596,36.018,-78.4534
27591,35.7824,-78.3859
27545,35.788,-78.4876
27540,35.6385,-78.8385
27562,35.6591,-78.9746
27501,35.4951,-78.71
27606,35.7601,-78.7134
27526,35.5704,-78.8013
27614,35.9384,-78.5956
27520,35.6196,-78.4764
27703,35.9639,-78.8328
27613,35.9038,-78.7105
27612,35.8493,-78.6944
27597,35.8396,-78.3108
27523,35.7677,-78.92
27607,35.8021,-78.7017
